,customer_state,price
0,AC,173.72771739130437
1,AL,180.46357303370786
2,AM,135.0165060240964
3,AP,164.32073170731707
4,BA,134.51813091482651
5,CE,153.22416098226466
6,DF,124.7144250559284
7,ES,121.56701195219124
8,GO,126.71551369863013
9,MA,144.91685049019608
10,MG,120.60896021906139
11,MS,142.25957882069795
12,MT,148.51201520912548
13,PA,164.83908248378128
14,PB,189.9818
15,PE,144.97964068546156
16,PI,159.94653061224489
17,PR,119.37988292853397
18,RJ,124.57440273972603
19,RN,156.74751908396945
20,RO,166.4885507246377
21,RR,157.4865306122449
22,RS,119.8378347714925
23,SC,124.43070385444098
24,SE,153.66272965879264
25,SP,109.54898400554868
26,TO,157.4578025477707
