,customer_state,price
0,AC,15982.95
1,AL,80306.29
2,AM,22412.74
3,AP,13474.3
4,BA,511706.97000000003
5,CE,224626.62
6,DF,278736.74
7,ES,274619.88
8,GO,296007.44
9,MA,118252.15
10,MG,1585646.0
11,MS,118217.71
12,MT,156234.64
13,PA,177861.37
14,PB,113989.08
15,PE,262268.17
16,PI,86211.18
17,PR,683211.07
18,RJ,1818786.28
19,RN,82135.7
20,RO,45950.840000000004
21,RR,7716.84
22,RS,749945.17
23,SC,519747.05
24,SE,58545.5
25,SP,5212231.11
26,TO,49441.75
